regionID,solarSystemID,solarSystemName,security
10000001,30000001,Tanoo,0.858324
10000001,30000002,Lashesih,0.751689
10000001,30000003,Akpivem,0.846292
10000001,30000004,Jark,0.817001
10000001,30000005,Sasta,0.814337
10000001,30000006,Zaid,0.864229
10000001,30000007,Yuzier,0.906556
10000001,30000008,Nirbhi,0.882116
10000001,30000009,Sooma,0.577819
10000001,30000010,Chidah,0.539052
10000001,30000011,Shenela,0.456959
10000001,30000012,Asabona,0.322884
10000001,30000013,Onsooh,0.442817
10000001,30000014,Shamahi,0.355242
10000001,30000015,Sendaya,0.293933
10000001,30000016,Nazhgete,0.391497
10000001,30000017,Futzchag,0.172229
10000001,30000018,Kazna,0.231263
10000001,30000019,Podion,0.109705
10000001,30000020,Lilmad,0.160449
10000070,30000021,Kuharah,-1.0
10000001,30000022,Jayneleb,0.11384
10000001,30000023,Fovihi,0.869394
10000001,30000024,Kiereend,0.840835
10000001,30000025,Rashy,0.803266
10000001,30000026,Ordize,0.695564
10000001,30000027,Psasa,0.749913
10000001,30000028,Eshtah,0.768433
10000001,30000029,Lachailes,0.573051
10000001,30000030,Kasrasi,0.573076
10000001,30000031,Mohas,0.681783
10000001,30000032,Hasiari,0.798188
10000001,30000033,Radima,0.75392
10000001,30000034,Alkez,0.782123
10000001,30000035,Nimambal,0.594051
10000001,30000036,Yishinoon,0.424718
10000001,30000037,Uplingur,0.422069
10000001,30000038,Dooz,0.423729
10000001,30000039,Bayuka,0.400722
10000001,30000040,Uzistoon,0.390646
10000001,30000041,Bairshir,0.364088
10000001,30000042,Moh,0.472835
10000001,30000043,Sari,0.379343
10000001,30000044,Faspera,0.128258
10000001,30000045,Jaymass,0.216311
10000001,30000046,Mifrata,0.303803
10000001,30000047,Majamar,0.369186
10000001,30000048,Ihal,0.492701
10000001,30000049,Camal,0.212977
10000001,30000050,Fera,0.477246
10000001,30000051,Juddi,0.649137
10000001,30000052,Maspah,0.799901
10000001,30000053,Ibaria,0.730979
10000001,30000054,Shala,0.715564
10000001,30000055,Zemalu,0.725159
10000001,30000056,Khankenirdia,0.613596
10000001,30000057,Nikh,0.774198
10000001,30000058,Amphar,0.702187
10000001,30000059,Salashayama,0.665586
10000001,30000060,Janus,0.545571
10000001,30000061,Agha,0.718783
10000001,30000062,Iosantin,0.450343
10000001,30000063,Orva,0.50995
10000001,30000064,Zet,0.569698
10000001,30000065,Akhrad,0.358477
10000001,30000066,Pirohdim,0.628696
10000001,30000067,Sharir,0.396849
10000001,30000068,Usroh,0.597458
10000001,30000069,Thiarer,0.542033
10000001,30000070,Gomati,0.387421
10000001,30000071,Jangar,0.527329
10000001,30000072,Nakah,0.363864
10000001,30000073,Irshah,0.429507
10000001,30000074,Hasateem,0.426496
10000001,30000075,Assah,0.297802
10000001,30000076,Tidacha,0.820099
10000001,30000077,Odlib,0.824517
10000001,30000078,Jofan,0.779548
10000001,30000079,Milu,0.769625
10000001,30000080,Yadi,0.750268
10000001,30000081,Buftiar,0.708741
10000001,30000082,Jarizza,0.765431
10000001,30000083,Ejahi,0.72891
10000001,30000084,Asghatil,0.794778
10000001,30000085,Bar,0.665838
10000001,30000086,Sucha,0.658265
10000001,30000087,Gelhan,0.701676
10000001,30000088,Akeva,0.664835
10000001,30000089,Sosa,0.301179
10000001,30000090,Ilahed,0.315943
10000001,30000091,Eshwil,0.218968
10000001,30000092,Aranir,0.242789
10000001,30000093,Ishkad,0.366036
10000001,30000094,Hahyil,0.208115
10000001,30000095,Asilem,0.284998
10000001,30000096,Mahnagh,0.205003
10000001,30000097,Shach,0.326043
10000001,30000098,Kehrara,0.364844
10000001,30000099,Arena,0.44233
10000001,30000100,Timeor,0.314131
10000001,30000101,Uhtafal,0.499612
10000001,30000102,Dysa,0.236195
10000001,30000103,Serad,0.525836
10000001,30000104,Mahti,0.228282
10000001,30000105,Abha,0.434101
10000001,30000106,Shedoo,0.506118
10000001,30000107,Gamis,0.473906
10000001,30000108,Nieril,0.35344
10000001,30000109,Berta,0.489557
10000001,30000110,Bekirdod,0.405349
10000001,30000111,Hothomouh,0.422981
10000001,30000112,Arnola,0.462835
10000001,30000113,Astabih,0.408818
10000001,30000114,Ubtes,0.336073
10000001,30000115,Bimener,0.270041
10000001,30000116,Kenobanala,0.289398
10000001,30000117,Khabi,0.248619
10000001,30000118,Uanzin,0.433972
10000002,30000119,Itamo,0.671738
10000002,30000120,Mitsolen,0.633706
10000002,30000121,Jatate,0.637428
10000002,30000122,Mahtista,0.658238
10000002,30000123,Vaankalen,0.64717
10000002,30000124,Kylmabe,0.731931
10000002,30000125,Ahtulaima,0.612689
10000002,30000126,Geras,0.650146
10000002,30000127,Sirseshin,0.747993
10000002,30000128,Tuuriainas,0.610849
10000002,30000129,Unpas,0.945965
10000002,30000130,Shihuken,0.874585
10000002,30000131,Nomaa,0.606936
10000002,30000132,Ansila,0.912017
10000002,30000133,Hirtamon,0.949
10000002,30000134,Hykkota,0.823653
10000002,30000135,Outuni,0.734172
10000002,30000136,Ohmahailen,0.663811
10000002,30000137,Eskunen,0.625294
10000002,30000138,Ikuchi,0.949
10000002,30000139,Urlen,0.949
10000002,30000140,Maurasi,0.912748
10000002,30000141,Kisogo,0.949
10000002,30000142,Jita,0.945913
10000002,30000143,Niyabainen,0.949
10000002,30000144,Perimeter,0.949
10000002,30000145,New Caldari,0.949
10000002,30000146,Saisio,0.65244
10000002,30000147,Abagawa,0.625298
10000002,30000148,Jakanerva,0.743252
10000002,30000149,Gekutami,0.699187
10000002,30000150,Hurtoken,0.585978
10000002,30000151,Uoyonen,0.69878
10000002,30000152,Hampinen,0.541327
10000002,30000153,Poinen,0.558053
10000002,30000154,Liekuri,0.600608
10000002,30000155,Obanen,0.561732
10000002,30000156,Josameto,0.577656
10000070,30000157,Otela,-1.0
10000002,30000158,Olo,0.676041
10000002,30000159,Ikami,0.532008
10000002,30000160,Reisen,0.518561
10000002,30000161,Purjola,0.520527
10000002,30000162,Maila,0.440715
10000002,30000163,Akora,0.324625
10000002,30000164,Messoya,0.315086
10000002,30000165,Ishisomo,0.650832
10000002,30000166,Airmia,0.623113
10000002,30000167,Sakkikainen,0.594889
10000002,30000168,Friggi,0.509153
10000002,30000169,Ihakana,0.380809
10000002,30000170,Vahunomi,0.531592
10000002,30000171,Otitoh,0.481667
10000002,30000172,Otomainen,0.479159
10000002,30000173,Vattuolen,0.708073
10000002,30000174,Onuse,0.740427
10000002,30000175,Soshin,0.634221
10000002,30000176,Keikaken,0.721319
10000002,30000177,Ukkalen,0.64512
10000002,30000178,Akkilen,0.689046
10000002,30000179,Silen,0.522203
10000002,30000180,Osmon,0.680264
10000002,30000181,Korsiki,0.643166
10000002,30000182,Inaya,0.55235
10000002,30000183,Nuken,0.761306
10000002,30000184,Uminas,0.483909
10000002,30000185,Airaken,0.503992
10000002,30000186,Oijanen,0.351969
10000002,30000187,Wuos,0.561774
10000002,30000188,Hentogaira,0.566958
10000002,30000189,Kiainti,0.528522
10000002,30000190,Vasala,0.493712
10000002,30000191,Walvalin,0.378683
10000070,30000192,Otanuomi,-1.0
10000002,30000193,Vouskiaho,0.500279
10000002,30000194,Otsela,0.3844
10000002,30000195,Tasti,0.282291
10000002,30000196,Otosela,0.238157
10000002,30000197,Uemon,0.197447
10000002,30000198,Paala,0.134379
10000002,30000199,Fuskunen,0.224637
10000002,30000200,Akkio,0.162151
10000002,30000201,Uchoshi,0.474179
10000002,30000202,Mastakomon,0.456966
10000002,30000203,Eruka,0.417261
10000002,30000204,Ohkunen,0.384887
10000002,30000205,Obe,0.346931
10000070,30000206,Wirashoda,-1.0
10000002,30000207,Osaa,0.329199
10000003,30000208,LZ-6SU,-0.172783
10000003,30000209,MC6O-F,-0.280435
10000003,30000210,U54-1L,-0.26807
10000003,30000211,B-588R,-0.15477
10000003,30000212,NCGR-Q,-0.260517
10000003,30000213,G-LOIT,-0.157009
10000003,30000214,HE-V4V,-0.214403
10000003,30000215,N-HSK0,-0.36044
10000003,30000216,05R-7A,-0.401776
10000003,30000217,7-UH4Z,-0.363871
10000003,30000218,5ZO-NZ,-0.303461
10000003,30000219,FS-RFL,-0.370816
10000003,30000220,Y0-BVN,-0.439537
10000003,30000221,X97D-W,-0.427645
10000003,30000222,0-R5TS,-0.218627
10000003,30000223,H-UCD1,-0.172229
10000003,30000224,7-K5EL,-0.150502
10000003,30000225,H-5GUI,-0.140515
10000003,30000226,FH-TTC,-0.137553
10000003,30000227,FMBR-8,-0.138441
10000003,30000228,3HX-DL,-0.423819
10000003,30000229,UH-9ZG,-0.462584
10000003,30000230,NFM-0V,-0.499123
10000003,30000231,YXIB-I,-0.506995
10000003,30000232,MY-T2P,-0.377081
10000003,30000233,FA-DMO,-0.385583
10000003,30000234,GEKJ-9,-0.386354
10000003,30000235,Q-R3GP,-0.355138
10000003,30000236,N-5QPW,-0.392558
10000003,30000237,XV-8JQ,-0.394929
10000003,30000238,WBR5-R,-0.515803
10000003,30000239,4GYV-Q,-0.536556
10000003,30000240,4-HWWF,-0.473026
10000003,30000241,YMJG-4,-0.416894
10000003,30000242,8TPX-N,-0.437192
10000003,30000243,PM-DWE,-0.423653
10000003,30000244,K8X-6B,-0.430215
10000003,30000245,X445-5,-0.413754
10000003,30000246,KRUN-N,-0.386697
10000003,30000247,9OO-LH,-0.466964
10000003,30000248,V-OJEN,-0.316843
10000003,30000249,EIDI-N,-0.406106
10000003,30000250,P3EN-E,-0.27488
10000003,30000251,49-0LI,-0.320104
10000003,30000252,IPAY-2,-0.339134
10000003,30000253,DAYP-G,-0.392761
10000003,30000254,IFJ-EL,-0.291599
10000003,30000255,47L-J4,-0.261392
10000003,30000256,Q-L07F,-0.322347
10000003,30000257,E-D0VZ,-0.270339
10000003,30000258,6WW-28,-0.226656
10000003,30000259,A8A-JN,-0.270632
10000003,30000260,S-NJBB,-0.281587
10000003,30000261,T-GCGL,-0.733996
10000003,30000262,0MV-4W,-0.662741
10000003,30000263,TVN-FM,-0.645799
10000003,30000264,V-NL3K,-0.763534
10000003,30000265,AZBR-2,-0.709048
10000003,30000266,Z-8Q65,-0.774685
10000003,30000267,0J3L-V,-0.790707
10000003,30000268,H-NOU5,-0.140606
10000003,30000269,KX-2UI,-0.158274
10000003,30000270,MO-FIF,-0.113224
10000003,30000271,97-M96,-0.188873
10000003,30000272,MA-XAP,-0.09721
10000003,30000273,C-J7CR,-0.08548
10000003,30000274,Q-EHMJ,-0.153372
10000003,30000275,XSQ-TF,-0.155434
10000003,30000276,H-1EOH,-0.171275
10000003,30000277,IR-DYY,-0.159339
10000003,30000278,C-DHON,-0.123955
10000003,30000279,F-D49D,-0.190938
10000003,30000280,MQ-O27,-0.128994
10000003,30000281,H-EY0P,-0.156086
10000003,30000282,UNAG-6,-0.223542
10000003,30000283,E-SCTX,-0.208451
10000003,30000284,S6QX-N,-0.217691
10000003,30000285,IT-YAU,-0.15946
10000003,30000286,1VK-6B,-0.169139
10000003,30000287,7-PO3P,-0.257891
10000003,30000288,1W-0KS,-0.102556
10000003,30000289,669-IX,-0.270158
10000003,30000290,0R-F2F,-0.312841
